epoch,accuracy,loss,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
0,0.4415525794029236,1.8097976446151733,0.9520593285560608,0.03999999910593033,5.906675338745117,0.14499999582767487
1,0.4140249788761139,1.826269268989563,0.9593539834022522,0.03999999910593033,6.879663467407227,0.13625000417232513
2,0.3614012897014618,1.947608232498169,0.9461455345153809,0.03999999910593033,5.990179061889648,0.13625000417232513
3,0.3411983549594879,1.9746127128601074,0.9286443591117859,0.03999999910593033,6.665614128112793,0.13625000417232513
4,0.34507083892822266,1.9512815475463867,0.9447346329689026,0.03999999910593033,4.896428108215332,0.13625000417232513
5,0.3562079668045044,1.9143686294555664,0.9486671686172485,0.03999999910593033,4.802167892456055,0.13625000417232513
6,0.37460973858833313,1.8937784433364868,0.9513989090919495,0.03999999910593033,6.71751594543457,0.13625000417232513
7,0.3915405869483948,1.8278273344039917,0.9648475050926208,0.03999999910593033,7.096053600311279,0.13625000417232513
8,0.39514288306236267,1.8417961597442627,0.9569524526596069,0.03999999910593033,7.095827102661133,0.14499999582767487
9,0.40862151980400085,1.8191169500350952,0.9653578400611877,0.03999999910593033,4.976564884185791,0.13625000417232513
10,0.4191882908344269,1.7608472108840942,0.9559618234634399,0.03999999910593033,6.640020370483398,0.14749999344348907
11,0.41384485363960266,1.7886803150177002,0.961605429649353,0.03999999910593033,5.042035102844238,0.13625000417232513
12,0.40763089060783386,1.8130122423171997,0.9494176506996155,0.03999999910593033,4.737879753112793,0.13625000417232513
13,0.41381484270095825,1.7841140031814575,0.9518792033195496,0.03999999910593033,7.306283473968506,0.13625000417232513
14,0.3943023681640625,1.8297837972640991,0.9494776725769043,0.03999999910593033,8.109833717346191,0.13625000417232513
15,0.3913004398345947,1.842632532119751,0.9466858506202698,0.03999999910593033,6.978456974029541,0.13625000417232513
16,0.4110230505466461,1.7971439361572266,0.9558717608451843,0.03999999910593033,5.465715408325195,0.13625000417232513
17,0.3821745812892914,1.8576979637145996,0.9456652402877808,0.03999999910593033,5.6430344581604,0.13625000417232513
18,0.3989253044128418,1.8314794301986694,0.9507684707641602,0.03999999910593033,5.5977630615234375,0.13625000417232513
19,0.3910602927207947,1.8443464040756226,0.9475263953208923,0.03999999910593033,6.253320217132568,0.13625000417232513
20,0.39814481139183044,1.8336634635925293,0.9378902316093445,0.03999999910593033,7.829052925109863,0.13625000417232513
21,0.39304155111312866,1.847581386566162,0.9461154937744141,0.03999999910593033,5.375766754150391,0.14749999344348907
22,0.4110530614852905,1.796318531036377,0.9505283236503601,0.03999999910593033,6.124969482421875,0.13625000417232513
